cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
10,AO,1567227602,77,-15.19,12.15,63.95,10.02
77,CA,1567227602,16,46.12,-70.67,59,5.01
1,US,1567227603,33,38.74,-108.07,80.6,1.3
0,BR,1567227608,63,-23.2,-47.29,71.01,8.05
40,CL,1567227611,99,-45.58,-72.07,41,3.36
47,CF,1567227611,95,8.07,22.4,70.43,1.57
75,GB,1567227611,77,53.65,-1.81,62.01,11.41
90,PE,1567227612,29,-6.27,-79.61,66.2,12.75
0,AR,1567227525,76,-51.62,-69.23,39.2,12.75
69,LR,1567227612,98,6.07,-8.13,70.97,1.45
98,NG,1567227612,90,4.92,6.26,75.47,8.43
75,IS,1567227613,81,63.84,-22.43,44.6,10.29
0,RU,1567227617,39,56.54,89.31,73.85,6.24
77,NG,1567227618,95,8.5,8.51,72.77,0.49
89,GY,1567227618,79,3.38,-59.8,77.27,5.77
90,VU,1567227618,74,-19.55,169.27,78.8,6.93
4,IN,1567227619,27,34.16,77.58,57.11,7.87
18,RU,1567227619,51,58.61,125.39,62.33,4.12
1,MX,1567227619,84,20.22,-96.78,79.61,8.32
0,NA,1567227619,24,-22.45,18.97,46.4,1.12
18,RU,1567227621,71,62.86,42.71,55.49,3.24
0,CL,1567227622,81,-27.37,-70.33,53.6,4.7
98,GM,1567227622,92,13.79,-15.05,74.75,8.1
88,CN,1567227622,60,24.5,110.4,85.73,3.53
75,IT,1567227025,88,45.18,8.4,73.99,9.17
75,RU,1567227417,67,66.42,112.4,59,2.24
20,AT,1567227623,100,48.64,13.53,64,1.12
0,NA,1567227623,11,-19.64,17.34,61.79,14.07
40,CN,1567227623,27,43.61,122.27,81.77,2.24
0,BE,1567227624,93,51.33,3.33,62.01,4.7
0,MG,1567227624,81,-20.3,44.28,73.85,12.1
95,PH,1567227624,85,11,122.67,80.69,3.27
47,DK,1567227624,93,56.43,10.38,60.01,3.36
60,RU,1567227625,40,62.67,131.17,67.19,3.85
40,RU,1567227625,73,56.17,91.82,69.8,8.95
1,US,1567227625,28,40.83,-115.76,68,3.36
1,US,1567227625,88,33.12,-117.08,73,3.36
98,ID,1567227626,57,-3.99,122.52,84.11,7.27
0,NE,1567227626,28,18.74,7.39,88.97,1.72
0,TR,1567227626,49,39.81,35.19,62.69,5.57
8,BR,1567227626,50,-13.66,-59.79,73.13,1.12
52,BY,1567227627,88,53.59,25.82,64.67,4
100,RU,1567227627,86,65.58,-170.99,46.85,5.99
75,AR,1567227627,14,-24.19,-65.45,78.8,16.11
62,SL,1567227627,92,7.53,-12.5,74.75,4.07
75,IE,1567227628,87,51.55,-9.27,53.6,11.41
26,PG,1567227628,72,-10.62,150.67,76.01,12.68
1,US,1567227628,94,39.62,-77.74,71.6,3.94
18,PK,1567227628,40,26.69,67.61,99.23,7.81
20,CA,1567227629,81,44.08,-80.2,62.01,6.93
0,TM,1567227629,45,41.84,59.97,66.2,4.7
0,FR,1567227617,73,41.93,8.74,71.6,9.17
10,GL,1567227629,75,60.91,-46.05,42.8,1.12
0,UA,1567227629,82,48.65,25.71,68,4.47
99,RU,1567227629,94,55.83,32.94,58.01,3.38
5,PG,1567227630,51,-4.22,142.82,92.57,4.03
100,MV,1567227630,75,5.67,73,82.49,9.86
1,US,1567227630,37,37.18,-113.29,89.6,5.48
1,US,1567227630,88,32.52,-92.64,80.6,4.29
62,NZ,1567227631,91,-39.48,175.67,39.83,0.72
59,RU,1567227631,44,52.71,118.82,71.69,4.83
79,BR,1567227631,82,-1.2,-46.02,77.45,6.73
0,IR,1567227631,30,32.86,59.22,69.8,16.11
1,US,1567227631,35,41.04,-111.68,80.6,5.82
62,MX,1567227632,77,23.99,-104.67,63,3
0,MG,1567227632,64,-15.72,46.32,69.8,5.82
50,UG,1567227632,94,2.68,33.77,67.37,3.29
0,CL,1567227632,14,-22.46,-68.93,44.01,23.04
20,BR,1567227632,93,-28.24,-48.67,64.4,25.28
100,LK,1567227633,80,6.12,81.12,81.41,23.58
75,MY,1567227633,62,2.1,102.8,87.8,6.93
100,NO,1567227633,96,70.86,29.09,51.17,10
90,AZ,1567227633,88,39.65,47.92,64.4,11.41
1,US,1567227634,44,39.13,-121.55,81,3.4
20,MR,1567227634,83,20.93,-17.03,73.4,13.87
75,PT,1567227449,100,41.15,-8.61,63,2.24
75,IN,1567227634,83,8.13,77.3,82.4,9.17
100,CD,1567227634,96,0.52,25.21,71.69,3
0,BR,1567227635,67,-23.78,-45.36,73.67,7.29
0,PT,1567227635,63,37.94,-7.6,66.2,4.7
33,ML,1567227606,83,13.3,-4.9,76.01,6.89
75,CN,1567227635,62,26.08,119.3,84.2,17.9
0,FI,1567227636,93,60.94,26.8,57.2,5.82
94,KZ,1567227636,67,52.55,62.49,46.85,14.58
0,EG,1567227636,19,24.09,32.9,90.41,14.23
76,CN,1567227636,61,45.35,130.84,67.55,11.7
16,YE,1567227541,20,16.72,44.81,84.47,2.73
5,US,1567227637,52,43.52,-114.32,64.4,9.17
1,US,1567227351,58,21.35,-158.09,84.2,5.82
0,AO,1567227637,66,-12.78,15.73,57.47,2.93
100,CA,1567227637,84,66.15,-65.72,41.99,4.72
1,DE,1567227638,100,50.05,10.19,63,3.13
3,SO,1567227638,52,5.35,48.53,86.81,22.35
4,NZ,1567227638,75,-42.72,170.96,49.55,2.26
9,GL,1567227638,78,61.99,-49.67,44.69,21.79
0,AR,1567227638,66,-40.81,-62.99,44.87,10.83
31,NE,1567227639,52,13.98,10.27,83.39,4.99
94,NG,1567227639,93,7.87,9.78,72.95,3.8
100,GA,1567227639,84,-0.7,10.22,74.03,4.92
82,IN,1567227639,75,17.96,79.61,84.83,12.12
66,RU,1567227639,69,60.47,166.1,56.93,10.09
